anime,season,year,category,songname,artist,link,status
86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Alchemilla (アルケミラ),Regal Lily,https://open.spotify.com/track/1QBkrW9kGVFGHd1eS2Hsiw,
Accel World,Spring 2012,2012,Opening Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
Accel World,Spring 2012,2012,Opening Theme,Burst The Gravity,ALTIMA ,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,
Accel World,Spring 2012,2012,Ending Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
Accel World,Spring 2012,2012,Ending Theme,→unfinished→,KOTOKO ,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
Accel World,Spring 2012,2012,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
Accel World EX,,1900,Opening Theme,Chase the world,May'n,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
Accel World EX,,1900,Opening Theme,Burst The Gravity,ALTIMA,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,
Accel World EX,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
Accel World EX,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
Accel World: Acchel World.,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
Accel World: Acchel World.,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
Accel World: Infinite∞Burst,,1900,Ending Theme,PLASMIC FIRE,KOTOKO × ALTIMA,https://open.spotify.com/track/7meId5OHVJOYOaX8gSFUQh,
Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Opening Theme,Kimi ni Aeta Hi (君に会えた日),Adachi (Akari Kitou) & Shimamura (Miku Itou),https://open.spotify.com/track/7IF6RrCW5z0U4WxLu8BFFG,
Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Ending Theme,Kimi no Tonari de (キミのとなりで),Akari Kitou,https://open.spotify.com/track/1CFuvvD7OzO65MldvBdHEk,
Akame ga Kill!,Summer 2014,2014,Opening Theme,Skyreach,Sora Amamiya,https://open.spotify.com/track/427vfPt3SW5ZhtCqwajhaT,
Akame ga Kill!,Summer 2014,2014,Opening Theme,LIAR MASK,Rika Mayama,https://open.spotify.com/track/17gqkmWPppwlxIZLxTWzVy,
Akame ga Kill!,Summer 2014,2014,Ending Theme,"Konna Sekai, Shiritakunakatta. (こんな世界、知りたくなかった。)",Miku Sawai,https://open.spotify.com/track/2p2cnsHFijYA3SJoHxDJ33,
Akame ga Kill!,Summer 2014,2014,Ending Theme,Tsuki Akari (月灯り),Sora Amamiya,https://open.spotify.com/track/3RARuWwpZZSgEdUzngAxdD,
Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Opening Theme,Soranetarium (ソラネタリウム),MICHI,https://open.spotify.com/track/1AACbeN2ZHvLWZM83cc1BY,
Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Ending Theme,Kowarekake no Radio (壊れかけのRadio),Ami Wajima,https://open.spotify.com/track/61qPtAAHqzUMBgDe3JhJf3,
Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Yona (暁のヨナ),Kunihiko Ryo,https://open.spotify.com/track/3EyWHf7bkEK2FtkXTjq5bh,
Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Hana (暁の華),Cyntia,https://open.spotify.com/track/540oiI1aRTEd0SOu6VtmXK,
