anime,season,year,category,songname,artist,link,status
Mayonaka no Occult Koumuin OVA (Midnight Occult Civil Servants OVA),,1900,Opening Theme,dis-communicate,Jun Fukuyama,https://open.spotify.com/track/0l9xa8dNcig3TqIobKl2dK,
Mayonaka no Occult Koumuin OVA (Midnight Occult Civil Servants OVA),,1900,Ending Theme,Yakusoku no Overture (約束のOverture),Shunichi Toki,https://open.spotify.com/track/1hbmIUh9QMrs9OfshOy4lo,
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,,1900,Opening Theme,dis-communicate,Jun Fukuyama,https://open.spotify.com/track/6G0ezswth9mIXCjJ7bV5lI,
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,,1900,Ending Theme,Yakusoku no Overture (約束のOverture),Shunichi Toki,https://open.spotify.com/track/1hbmIUh9QMrs9OfshOy4lo,
Märchen Mädchen (Maerchen Maedchen),Winter 2018,2018,Opening Theme,Watashi no Tame no Monogatari ~My Uncompleted Story~ (わたしのための物語 ～My Uncompleted Story～),fhána,https://open.spotify.com/track/5L9UkObnbyH0gy6yKQ9E45,
Märchen Mädchen (Maerchen Maedchen),Winter 2018,2018,Ending Theme,sleepland,Reina Ueda,https://open.spotify.com/track/7LWXt6i5Yvit2xxd7Dr64w,
Märchen Mädchen Specials (Maerchen Maedchen),,1900,Opening Theme,Watashi no Tame no Monogatari ~My Uncompleted Story~ (わたしのための物語 ～My Uncompleted Story～),fhána,https://open.spotify.com/track/5L9UkObnbyH0gy6yKQ9E45,
Märchen Mädchen Specials (Maerchen Maedchen),,1900,Ending Theme,sleepland,Reina Ueda,https://open.spotify.com/track/7LWXt6i5Yvit2xxd7Dr64w,
Megami-ryou no Ryoubo-kun. (Mother of the Goddess' Dormitory),Summer 2021,2021,Opening Theme,Naughty Love,"Atena Saotome (Ashu Nekota), Mineru Wachi (Nairu), Kiriya Senshou (Kururu Kurasaka), Frey (Freya), Serene Hozumi (Yuki Yomichi)",https://open.spotify.com/track/2vYigKNziJiYI0mGFJXxQT,
Megami-ryou no Ryoubo-kun. (Mother of the Goddess' Dormitory),Summer 2021,2021,Ending Theme,Zettai! Kimi Sengen ♡ (ゼッタイ！キミ宣言♡),"Atena Saotome (Ashu Nekota), Mineru Wachi (Nairu), Kiriya Senshou (Kururu Kurasaka), Frey (Freya), Serene Hozumi (Yuki Yomichi), Sutea Kouroya (Akira Itsuki)",https://open.spotify.com/track/5gszjh571HfTM2o2aJtVkO,
Megami-ryou no Ryoubo-kun. (Mother of the Goddess' Dormitory),Summer 2021,2021,Ending Theme,Naughty Love,"Atena Saotome (CV: Ashu Nekota), Mineru Wachi (CV: Nairu), Kiriya Senshou (CV: Kururu Kurasaka), Frey (CV: Freya), Serene Hozumi (CV: Yuki Yomichi)", ,
Meikyuu Black Company (The Dungeon of Black Company),Summer 2021,2021,Opening Theme,Shimi (染み),HOWL BE QUIET,https://open.spotify.com/track/5Z9tM5t9mCQJQD77XX3IxY,
Meikyuu Black Company (The Dungeon of Black Company),Summer 2021,2021,Ending Theme,World is Mine (ワールドイズマイン),Humbreaders (ハンブレッダーズ),https://open.spotify.com/track/7LSLUQmNThtzFGGl5dcJkv,
Mekakucity Actors,Spring 2014,2014,Opening Theme,daze,Jin ft. MARiA from GARNiDELiA,https://open.spotify.com/track/1J8P5gi2rwToqVyBZyCuOr,
Mekakucity Actors,Spring 2014,2014,Opening Theme,Headphone Actor (ヘッドフォンアクター),Jin ft. LiSA,https://open.spotify.com/track/56VTCRO6gYrpICBibMKr7R,
Mekakucity Actors,Spring 2014,2014,Opening Theme,Ayano no Koufuku Riron (アヤノの幸福理論),Jin ft. Aki Okui,https://open.spotify.com/track/4jcyxykbZGgu72DY7zl2vu,
Mekakucity Actors,Spring 2014,2014,Ending Theme,daze,Jin ft. MARiA from GARNiDELiA,https://open.spotify.com/track/1J8P5gi2rwToqVyBZyCuOr,
Mekakucity Actors,Spring 2014,2014,Ending Theme,daze,Jin ft. Lia,https://open.spotify.com/track/2clXNIYMyjFD1jHIbAyklh,
Mekakucity Actors,Spring 2014,2014,Ending Theme,Yuukei Yesterday (夕景イエスタデイ),Jin ft. LiSA,https://open.spotify.com/track/23fiEpw0tVpRdu7z5zyvoc,
Mekakucity Actors,Spring 2014,2014,Ending Theme,Lost Time Memory (ロスタイムメモリー),Jin ft. Matsuyama Kouta from BYEE the ROUND,https://open.spotify.com/track/3bwFNBHddnCEKByt1B2BLb,
Mekakucity Actors,Spring 2014,2014,Ending Theme,Summertime Record (サマータイムレコード),Jin,https://open.spotify.com/track/2c2sTMuDt9HGswIZQ8KuJ1,
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,Fall 2018,2018,Opening Theme,Origin (オリジン),Mili, ,
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,Fall 2018,2018,Ending Theme,Bottleship,Inori Minase, ,
Midara na Ao-chan wa Benkyou ga Dekinai (Ao-chan Can't Study!),Spring 2019,2019,Opening Theme,WONDERFUL WONDER,EDOGA-SULLIVAN (エドガー・サリヴァン),https://open.spotify.com/track/7sOAnQaV1bOORiuUhknM4v,
Midara na Ao-chan wa Benkyou ga Dekinai (Ao-chan Can't Study!),Spring 2019,2019,Ending Theme,Koi wa Miracle (恋はミラクル),Spira Spica (スピラ・スピカ),https://open.spotify.com/track/2qiIgpj0riWAZJGlIo5ruK,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Opening Theme,Kyouki Chinden (狂気沈殿),Yousei Teikoku,https://open.spotify.com/track/6HGhtwCOBcU3YJLXkAjwmN,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Opening Theme,Kuusou Mesorogiwi (空想メソロギヰ),Yousei Teikoku,https://open.spotify.com/track/47IJAEuqiu4r1dEoEExfMA,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Opening Theme,Dead END,Faylan, ,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Ending Theme,Happy End,Faylan, ,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Ending Theme,Blood Teller,Faylan, ,
Mirai Nikki (TV) (The Future Diary),Fall 2011,2011,Ending Theme,filament,Yousei Teikoku,https://open.spotify.com/track/6ulhkcCQADgLCusMVlApCh,
Mirai no Mirai (Mirai),,1900,Opening Theme,Mirai no Theme (ミライのテーマ),Tatsurou Yamashita, ,
Mirai no Mirai (Mirai),,1900,Ending Theme,Uta no Kisha (うたのきしゃ),Tatsurou Yamashita, ,
Miru Tights,,1900,Ending Theme,True Days (Ren ver.) (True Days (レンver.)),Ren Aikawa (Haruka Tomatsu),https://open.spotify.com/track/5chj5yV5A5SH7GlcRM63bj,
Miru Tights,,1900,Ending Theme,True Days (Yua ver.) (True Days (ユアver.),Yua Akabeni (Yoko Hikasa),https://open.spotify.com/track/1CfuMyHbXcKaYgPm1AltvQ,
Miru Tights,,1900,Ending Theme,True Days (Homi ver.) (True Days (ホミver.)),Homi Moegi (Aya Suzaki),https://open.spotify.com/track/272Rvms8GzLtriKjkBkmoe,
Miru Tights,,1900,Ending Theme,True Days ,"Ren Aikawa (Haruka Tomatsu), Yua Akabeni (Yoko Hikasa), Homi Moegi (Aya Suzaki)",https://open.spotify.com/track/2SZrlxtq7iv6FXgPk4q4HV,
Mob Psycho 100,Summer 2016,2016,Opening Theme,99,MOB CHOIR,https://open.spotify.com/track/2mTKeMOQ6x3HhnWTriWijA,
Mob Psycho 100,Summer 2016,2016,Ending Theme,Refrain Boy (リフレインボーイ),ALL OFF,https://open.spotify.com/track/6ibkDJqBBEkd2gtOt7otx1,
Mob Psycho 100,Summer 2016,2016,Ending Theme,Refrain Boy -English ver.- (リフレインボーイ -English ver.-),ALL OFF,https://open.spotify.com/track/5Kcnlh2mr6bZCQIBZ9jev0,
Mob Psycho 100,Summer 2016,2016,Ending Theme,Refrain Boy -TEKINA remix- (リフレインボーイ -TEKINA remix-),ALL OFF,https://open.spotify.com/track/6vHoxHYhZMTJ7Y68Qmkqbf,
Mob Psycho 100 II,Winter 2019,2019,Opening Theme,99.9,MOB CHOIR feat. sajou no hana,https://open.spotify.com/track/7aGS6XGNwWYV6SNySSAKEn,
Mob Psycho 100 II,Winter 2019,2019,Ending Theme,Gray (グレイ),sajou no hana,https://open.spotify.com/track/23R8fLFfyxhpPg64osstsu,
Mob Psycho 100 II,Winter 2019,2019,Ending Theme,Memosepia (メモセピア),sajou no hana,https://open.spotify.com/track/2BM2k7oEGcGoD4yBeRworb,
Mob Psycho 100 II,Winter 2019,2019,Ending Theme,Mabuta no Ura (目蓋の裏),sajou no hana,https://open.spotify.com/track/7D3Y7c8WwS7LzaXST0Wgpt,
Mob Psycho 100 II,Winter 2019,2019,Ending Theme,Ikiru Hitobito (いきるひとびと),sajou no hana,https://open.spotify.com/track/69Xcy8i2S0DUjzE6ry2Nb6,
Mob Psycho 100 III,Fall 2022,2022,Opening Theme,1,MOB CHOIR,https://open.spotify.com/track/4lI1bWV4YjttNn94y2kghG,
Mob Psycho 100 III,Fall 2022,2022,Ending Theme,コバルト,MOB CHOIR,https://open.spotify.com/track/3MKFEcr6xWe2JmwB1C0We8,
Mob Psycho 100 III,Fall 2022,2022,Ending Theme,Exist,MOB CHOIR,https://open.spotify.com/track/2B8c0GytTHzgjY2AWFLNyP,
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou,,1900,Ending Theme,Ikiru Hitobito (いきるひとびと),sajou no hana,https://open.spotify.com/track/69Xcy8i2S0DUjzE6ry2Nb6,
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,,1900,Opening Theme,Setting Sail ~Modern Love Tokyo~ (Setting Sail ~モダンラブ・東京~),Awesome City Club, ,
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,,1900,Ending Theme,YOU MAY DREAM,Sheena & The Rokkets, ,
Mononogatari (Malevolent Spirits: Mononogatari),Winter 2023,2023,Opening Theme,Koigoromo (恋衣),ARCANA PROJECT,https://open.spotify.com/track/1OZhDEvmUGScmBFvkg6uNy,
Mononogatari (Malevolent Spirits: Mononogatari),Winter 2023,2023,Ending Theme,rebind,TRUE,https://open.spotify.com/track/29TrJvPHW8SuL9Y7wg72Ui,
Mononoke Hime (Princess Mononoke),,1900,Opening Theme,Ashitaka Sekki (アシタカせっき; The Legend of Ashitaka),Joe Hisaishi,https://open.spotify.com/track/3QQcmb87X6e10gdEXDx1ep,
Mononoke Hime (Princess Mononoke),,1900,Ending Theme,Mononoke Hime,Joe Hisaishi,https://open.spotify.com/track/2i4cFd5DSJUTV7CCCR9dMx,
Monster Musume no Oishasan (Monster Girl Doctor),Summer 2020,2020,Opening Theme,Campanella Hibiku Sora de (カンパネラ響く空で),ARCANA PROJECT,https://open.spotify.com/track/1wEV3pwzVxNnY470mLcu4d,
Monster Musume no Oishasan (Monster Girl Doctor),Summer 2020,2020,Ending Theme,Yasashisa no Namae (やさしさの名前),Aina Suzuki,https://open.spotify.com/track/7aoyhbrOlU2SNGr59gZW49,
Motto To LOVE-Ru (Motto To LOVE Ru),Fall 2010,2010,Opening Theme,Loop-the-Loop,KOTOKO,https://open.spotify.com/track/17hIIei4sCrQiWWtzQtKOw,
Motto To LOVE-Ru (Motto To LOVE Ru),Fall 2010,2010,Ending Theme,Baby Baby Love,Haruka Tomatsu,https://open.spotify.com/track/3pN77H0thRnJeTt0pE2vXd,
"Mou Ippon! (""Ippon"" again!)",Winter 2023,2023,Opening Theme,Stand By Me,Subway Daydream,https://open.spotify.com/track/75VWORpDYtMTffOOLQKIFL,
"Mou Ippon! (""Ippon"" again!)",Winter 2023,2023,Ending Theme,Stand By Me,Subway Daydream, ,
"Mou Ippon! (""Ippon"" again!)",Winter 2023,2023,Ending Theme,Ipponmichi (いっぽんみち),Aoba Nishi Koukou Juudou-bu (青葉西高校柔道部),https://open.spotify.com/track/7GQyHBnTcgZ222T8vNucfs,
Mugen no Juunin: Immortal (Blade of the Immortal),,1900,Opening Theme,SURVIVE OF VISION,Kiyoharu,https://open.spotify.com/track/4uONfe8wZawR6sJyHbFaOO,
Mugen no Juunin: Immortal (Blade of the Immortal),,1900,Opening Theme,Mugen no Juunin Butouhen (無限の住人 武闘編),Ningen Isu [TV Rebroadcast  eps 13-23], ,
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Summer 2018,2018,Opening Theme,Gifted,SCREEN mode,https://open.spotify.com/track/4jPEfCnaIaVeQCh6gx7LFu,
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Summer 2018,2018,Ending Theme,Hotohashiru (ホトハシル),ORESAMA,https://open.spotify.com/track/44xQiaN7X9vGyiK6ioYsHu,
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Summer 2020,2020,Opening Theme,Inochi no Akashi (イノチノアカシ),ZAQ,https://open.spotify.com/track/5tH8rVHj4EhBgDAzpDMKKO,
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Summer 2020,2020,Ending Theme,Proud Days,NOW ON AIR,https://open.spotify.com/track/3dW0PdGDtRe9KCyWoW18yc,
Munou na Nana (Talentless Nana),Fall 2020,2020,Opening Theme,Broken Sky,Miyu Tomita,https://open.spotify.com/track/5GPXRIMCYdQkghzBxFgPqA,
Munou na Nana (Talentless Nana),Fall 2020,2020,Ending Theme,Bakemono to Yobarete (バケモノと呼ばれて),Chiai Fujikawa,https://open.spotify.com/track/4HKa3rbUMPQvEXFknNBgC0,
Murenase! Seton Gakuen (Seton Academy: Join the Pack!),Winter 2020,2020,Opening Theme,Gakuen Soukan Zoo (学園壮観Zoo),Ryouri-bu,https://open.spotify.com/track/2AhEZOIJ7eQ56bMGYx985O,
Murenase! Seton Gakuen (Seton Academy: Join the Pack!),Winter 2020,2020,Ending Theme,Ookami Blues (オオカミブルース),Ranka Ookami (Hina Kino),https://open.spotify.com/track/1F4eEhc9cvklwCLwQJoJGp,
Murenase! Seton Gakuen Special,,1900,Ending Theme,Ookami Blues (オオカミブルース),Ranka Ookami (Hina Kino), ,
Mushikaburi-hime (Bibliophile Princess),Fall 2022,2022,Opening Theme,Prologue,Yuka Iguchi,https://open.spotify.com/track/29RSZWWOmXySyHwhA8qKAB,
Mushikaburi-hime (Bibliophile Princess),Fall 2022,2022,Ending Theme,革表紙,Kashitarou Itou,https://open.spotify.com/track/6mEG0IyHp4kaFUMlm4Vdw1,
Mushoku Tensei: Isekai Ittara Honki Dasu,Winter 2021,2021,Opening Theme,Tabibito no Uta (旅人の唄),Yuiko Oohara,https://open.spotify.com/track/4PV6kMVIn85ao77AQzjcDO,
Mushoku Tensei: Isekai Ittara Honki Dasu,Winter 2021,2021,Opening Theme,Mezame no uta (目覚めの唄),Yuiko Oohara,https://open.spotify.com/track/2loRIjWRFlYZQ8chj6ho8O,
Mushoku Tensei: Isekai Ittara Honki Dasu,Winter 2021,2021,Ending Theme,Only (オンリー),Yuiko Oohara,https://open.spotify.com/track/4hJmc8djXkDik2wEKrfe6R,
Nakanohito Genome [Jikkyouchuu] (The Ones Within),Summer 2019,2019,Opening Theme,not GAME,Tasuku Hatanaka (畠中祐),https://open.spotify.com/track/2qiSlliehs5VU9feMwMTPz,
Nakanohito Genome [Jikkyouchuu] (The Ones Within),Summer 2019,2019,Ending Theme,Boku wo Mitsukete (僕を見つけて),fhána,https://open.spotify.com/track/0PXeQyNzKmM4IG0DLQvDxv,
Nakanohito Genome [Jikkyouchuu]: Knots of Memories,,1900,Ending Theme,Boku wo Mitsukete (僕を見つけて),fhána, ,
"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Opening Theme,aranami,tacica,https://open.spotify.com/track/1N23CBPVb0ms0lf3acpfBv,
"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Ending Theme,Pride,Harumi (遥海),https://open.spotify.com/track/5bE1OtImM4YVO4xhAGy0og,
"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Ending Theme,Believe In Myself,Harumi (遥海),https://open.spotify.com/track/0nolpr6YURejDkUCmJtea8,
"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Opening Theme,Bon♡Kyu♡Bon wa Kare no Mono♡ (ボン♡キュッ♡ボンは彼のモノ♡),Sumire Uesaka,https://open.spotify.com/track/5yBJ3b6E3S3zLV0LxN8ZDX,
"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Kana Kojima (Sumire Uesaka), ,
"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Mayu Matsukaze (Yuuko Gotou), ,
"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Chizuru Tachibana (Nozomi Yamamoto), ,
"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Hikari Hazakura (Shizuka Ishigami), ,
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,,1900,Opening Theme,Bon♡Kyu♡Bon wa Kare no Mono♡ (ボン♡キュッ♡ボンは彼のモノ♡),Sumire Uesaka, ,
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,,1900,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Kana Kojima (Sumire Uesaka), ,
Natsunagu!,Winter 2020,2020,Ending Theme,Camellia,Rio, ,
Nazo no Kanojo X (Mysterious Girlfriend X),Spring 2012,2012,Opening Theme,Koi no Orchestra (恋のオーケストラ),Ayako Yoshitani, ,
Nazo no Kanojo X (Mysterious Girlfriend X),Spring 2012,2012,Ending Theme,Houkago no Yakusoku (放課後の約束),Ayako Yoshitani, ,
Nazo no Kanojo X: Nazo no Natsu Matsuri,,1900,Opening Theme,Koi no Orchestra (恋のオーケストラ),Ayako Yoshitani, ,
Nazo no Kanojo X: Nazo no Natsu Matsuri,,1900,Ending Theme,Houkago no Yakusoku (放課後の約束),Ayako Yoshitani, ,
Nekopara,Winter 2020,2020,Opening Theme,Shiny Happy Days,"Chocola (Yuki Yagi), Vanilla (Iori Saeki), Azuki (Shiori Izawa), Maple (Miku Itou), Cinnamon (Yuri Noguchi), Coconut (Marin Mizutani)",https://open.spotify.com/track/5EwXiLazd1wAR5AAgc9Vla,
Nekopara,Winter 2020,2020,Ending Theme,Hidamari no Kaori (陽だまりの香り),"Chocola (Yuki Yagi), Vanilla (Iori Saeki)",https://open.spotify.com/track/14NSDE62o0Jh3OOEoy7QDG,
Nekopara,Winter 2020,2020,Ending Theme,Honto no Kokoro (ホントノココロ),Maple (Miku Itou),https://open.spotify.com/track/0zP5N2tVor5CzgqQusKXSo,
Nekopara,Winter 2020,2020,Ending Theme,Hidamari no Kaori ~Cacao mo Issho ver~ (陽だまりの香り~カカオもいっしょver~),"Chocola (Yuki Yagi), Vanilla (Iori Saeki), Cacao (Yuuka Morishima)",https://open.spotify.com/track/00xxi3SdDhWq58AoIOBhzL,
Nekopara: Koneko no Hi no Yakusoku,,1900,Ending Theme,Symphony,Luce Twinkle Wink,https://open.spotify.com/track/0IsG0E5frih5IUXcDgC9Yo,
Neon Genesis Evangelion,Fall 1995,1995,Opening Theme,"Zankoku na Tenshi no Thesis (残酷な天使のテーゼ, A Cruel Angel's Thesis)",Yoko Takahashi, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon,Claire, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #5 Version),Megumi Hayashibara, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #6 Version),Megumi Hayashibara, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -4 Beat Version-,Yoko Takahashi, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Aya Bossa Techno Version),Aya, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Yoko Takahashi Acid Bossa Version),Yoko Takahashi, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Yoko Takahashi Version),Yoko Takahashi, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -4 Beat Version (Off-Vocal)-,[Instrumental], ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Off-Vocal Version),[Instrumental], ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Aki Jungle Version),Aki, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -B22 (A-Type)-,[Instrumental], ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #23 Version),Megumi Hayashibara, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #25 Version),Megumi Hayashibara, ,
Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #26 Version),Megumi Hayashibara, ,
Neon Genesis Evangelion: The End of Evangelion,,1900,Ending Theme,Thanatos -If I Can't Be Yours-,Loren & Mash, ,
Net-juu no Susume (Recovery of an MMO Junkie),Fall 2017,2017,Opening Theme,Saturday Night Question (サタデー・ナイト・クエスチョン),Megumi Nakajima,https://open.spotify.com/track/3m8afiRxyS8YzLuq9LfFdU,
Net-juu no Susume (Recovery of an MMO Junkie),Fall 2017,2017,Ending Theme,"Hikari, Hikari (ひかり、ひかり)",Yuuka Aisaka,https://open.spotify.com/track/3425sFJgHKb0oaSuju0peq,
Net-juu no Susume Special (Recovery of an MMO Junkie Special),,1900,Opening Theme,Saturday Night Question (サタデー・ナイト・クエスチョン),Megumi Nakajima,https://open.spotify.com/track/3m8afiRxyS8YzLuq9LfFdU,
Net-juu no Susume Special (Recovery of an MMO Junkie Special),,1900,Ending Theme,"Hikari, Hikari (ひかり、ひかり)",Yuuka Aisaka,https://open.spotify.com/track/3425sFJgHKb0oaSuju0peq,
New Game!,Summer 2016,2016,Opening Theme,SAKURA Skip (SAKURAスキップ),"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
New Game!,Summer 2016,2016,Ending Theme,Now Loading!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",,1900,Opening Theme,SAKURA Skip (SAKURAスキップ),"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",,1900,Ending Theme,Now Loading!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
New Game!!,Summer 2017,2017,Opening Theme,STEP,"STEP UP↑↑↑↑""",https://open.spotify.com/track/7zuR4IKOOpdshNwmJyEc1u,
New Game!!,Summer 2017,2017,Ending Theme,JUMPin' JUMP UP!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
New Game!!,Summer 2017,2017,Ending Theme,Yumeiro Compass,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
Ni no Kuni,,1900,Ending Theme,MOIL,Keina Suda,https://open.spotify.com/track/6vRAF32WCBP15cMXGsfStt,
Nichijou (Nichijou,Spring 2011,2011,Opening Theme,Hyadain no Kakakata☆Kataomoi - C,Hyadain (Kenichi Maeyamada),https://open.spotify.com/track/3MpAKiHm0dzxRBSBwJ3PBC,
Nichijou (Nichijou,Spring 2011,2011,Opening Theme,Hyadain no Joujou Yuujou (ヒャダインのじょーじょーゆーじょー),Hyadain,https://open.spotify.com/track/4o6lx73KC3AmKI73fDV6ZU,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Zzz,Sayaka Sasaki,https://open.spotify.com/track/5pDmTYazss1gsjdB0PNbDG,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Zzz (Bossa Nova version),Sayaka Sasaki,https://open.spotify.com/track/3ntZ3BcNvEwMAyJPcbBjPf,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Zzz (Acapella version),Sayaka Sasaki,https://open.spotify.com/track/3nnoOmCi4pmepk4paaEIo4,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Tsubasa wo Kudasai (翼をください),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Kikyuu ni Notte Dokomademo (気球にのってどこまでも),"Nano Shinonome, Hakase & Sakamoto-san (Shizuka Furuya, Hiromi Konno & Minoru Shiraishi)", ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,My Ballad (マイバラード),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Kaijuu no Ballad (怪獣のバラード),"Yuuko, Mio & Mai (Mariko Honda, Mai Aizawa & Misuzu Togashi)", ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Green Green (グリーングリーン),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Yasei no Uma (野生の馬),"Takasaki-sensei, Sakurai-sensei, Nakamura-sensei, Makoto Sakurai, Yuria Sekiguchi, Haruna Annaka & Ogi (Tetsu Inada, Mami Kosuge, Kaoru Mizuhara, Takahiro Hikami, Ai Hirosaka, Kaori Sadohara, Ryouta Takeuchi)", ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Ano Subarashii Ai o Mou Ichido (あの素晴らしい愛をもう一度),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Sudachi no Uta (巣立ちの歌),"Sasahara, Misato, Nakanojou, Weboshi & Fecchan (Yoshihisa Kawahara, Chika Horikawa, Kazutomi Yamamoto, Youko Tamaoki & Yumi Higuchi)", ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Aogeba Toutoshi (仰げば尊し),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Sora ga Konna ni Aoi to wa (空がこんなに青いとは),Hakase & Mai (Hiromi Konno & Misuzu Togashi), ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Yuuki Hitotsu wo Tomo ni Shite (勇気一つを友にして),Sayaka Sasaki, ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Let's search for Tomorrow,"Yuuko, Mio & Mai (Mariko Honda, Mai Aizawa & Misuzu Togashi)", ,
Nichijou (Nichijou,Spring 2011,2011,Ending Theme,Tabidachi no hi ni (旅立ちの日に),"Yuuko, Mio, Mai, Nano, Hakase & Sakamoto-san (Mariko Honda, Mai Aizawa, Misuzu Togashi, Shizuka Furuya, Hiromi Konno & Minoru Shiraishi)", ,
Nichijou: Nichijou no 0-wa (My Ordinary Life Episode 0),,1900,Ending Theme,Nichijou no 0-wa (日常の0話),Sayaka Sasaki, ,
