,anime,season,year,category,songname,artist,link,status
1795,Strike the Blood,Fall 2013,2013,Opening Theme,Strike the Blood (ストライク・ザ・ブラッド),Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/0OY5p2Zr79YFH0IqTlaljw,Downloaded
1796,Strike the Blood,Fall 2013,2013,Opening Theme,Fight 4 Real,ALTIMA,https://open.spotify.com/track/7dC1IOEeqCNEXd3fvJjHpq,Downloaded
1797,Strike the Blood,Fall 2013,2013,Ending Theme,Strike the Blood (ストライク・ザ・ブラッド),Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/0OY5p2Zr79YFH0IqTlaljw,Downloaded
1798,Strike the Blood,Fall 2013,2013,Ending Theme,Strike my soul,Yuka Iguchi,https://open.spotify.com/track/7tAh14pFiFrtOAMizyeNtm,Downloaded
1799,Strike the Blood,Fall 2013,2013,Ending Theme,signal,Kanon Wakeshima,https://open.spotify.com/track/1IZ2D3KbydBNLpTP2irZAC,Downloaded
1800,Strike the Blood II (Strike the Blood Second),,1900,Opening Theme,Blood on the EDGE,Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/5WeWboQGFga60MpZ3Tcbba,Downloaded
1801,Strike the Blood II (Strike the Blood Second),,1900,Ending Theme,Fortune Number 0405 (フォーチュンナンバー0405),Yukina Himeragi (Risa Taneda),https://open.spotify.com/track/5YIGGAJniHrqDY0Rv5eZbF,Downloaded
1802,Strike the Blood_ Valkyria no Oukoku-hen,,1900,Opening Theme,Little Charm Fang (リトルチャームファング),Yuka Iguchi,https://www.youtube.com/watch?v=-gH5D1AjXis,
1803,Strike the Blood_ Valkyria no Oukoku-hen,,1900,Ending Theme,Kimi wa Soleil (君はソレイユ),Kanon Wakeshima,https://open.spotify.com/track/08PQJxCd8h8JOiBjkm3ev2,Downloaded
1804,Subarashiki Kono Sekai The Animation,Spring 2021,2021,Opening Theme,Calling -Animation OP Ver_-,Leah,https://www.youtube.com/watch?v=or_MDJnmihc,
1805,Subarashiki Kono Sekai The Animation,Spring 2021,2021,Opening Theme,Twister -Animation OP Ver_-,MJR,https://www.youtube.com/watch?v=yVWbiDlZdcw,
1806,Subarashiki Kono Sekai The Animation,Spring 2021,2021,Ending Theme,Carpe Diem,ASCA,https://open.spotify.com/track/2twEDKgzKLoIsRPeFWlv7W,Downloaded
1807,Suki tte Ii na yo. (Say _I Love You._),Fall 2012,2012,Opening Theme,Friendship ~ for Sukitte Ii na yo_ (Friendship～for 好きっていいなよ。),Ritsuko Okazaki,https://www.youtube.com/watch?v=Ijp5hRogCh4,
1808,Suki tte Ii na yo. (Say _I Love You._),Fall 2012,2012,Ending Theme,slow dance,Suneohair,https://open.spotify.com/track/4vOl50LbPD55ojkS16AHKh,Downloaded
1809,Suki tte Ii na yo. (Say _I Love You._),Fall 2012,2012,Ending Theme,Sarari (さらり),Suneohair,https://open.spotify.com/track/7t7m1nmknDDdlplEhlnHMX,Downloaded
1810,Suki tte Ii na yo. Dareka ga (Say _I Love You._ OVA),,1900,Opening Theme,Friendship ~ for Sukitte Ii na yo_ (Friendship～for 好きっていいなよ。),Ritsuko Okazaki,https://www.youtube.com/watch?v=Ijp5hRogCh4,
1811,Suki tte Ii na yo. Dareka ga (Say _I Love You._ OVA),,1900,Ending Theme,slow dance,Suneohair,https://open.spotify.com/track/4vOl50LbPD55ojkS16AHKh,Downloaded
1812,Summer Wars,,1900,Ending Theme,Bokura no Natsu no Yume,Tatsuro Yamashita_,https://www.youtube.com/watch?v=RyPgzkormq0,
1813,Super Cub,Spring 2021,2021,Opening Theme,Mahou no Kaze (まほうのかぜ),Akane Kumada,https://open.spotify.com/track/6pmagdvWHvHMiy5HgXcP8x,Downloaded
1814,Super Cub,Spring 2021,2021,Ending Theme,Haru e no Dengon (春への伝言),"Yuki Yomichi, Ayaka Nanase, Natsumi Hioka",https://open.spotify.com/track/3GDyAyte0QurCU0vHLYwxl,Downloaded
1815,Super Shiro,Fall 2019,2019,Ending Theme,SUPER SHIRO,Miyuhan (みゆはん),https://open.spotify.com/track/4I06IqH4OPB6Ah1OXlBBZD,Downloaded
1816,Suzumiya Haruhi no Shoushitsu,,1900,Opening Theme,Bouken Desho Desho_ (冒険でしょでしょ_),Aya Hirano,https://open.spotify.com/track/2y1T5sgYNFfSQbPFRwc7iG,Downloaded
1817,Suzumiya Haruhi no Shoushitsu,,1900,Ending Theme,Yasashii Boukyaku (優しい忘却),Minori Chihara,https://open.spotify.com/track/5eHN8O4eo3E1gh7hq0R7EN,Downloaded
1818,Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Opening Theme,Koi no Mikuru Densetsu (恋のミクル伝説),Yuko Goto as Mikuru Asahina,https://open.spotify.com/track/1SQ0z3rAndqnUjImZxFaB4,Downloaded
1819,Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Opening Theme,Bouken Desho Desho_ (冒険でしょでしょ_),Aya Hirano,https://open.spotify.com/track/2y1T5sgYNFfSQbPFRwc7iG,Downloaded
1820,Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Ending Theme,Hare Hare Yukai (ハレ晴レユカイ),"Aya Hirano, Minori Chihara, and Yuko Goto",https://open.spotify.com/track/4UvfjzLmFls3J4K7FMJqiI,Downloaded
