AnimeTitle,ID,Status
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,32887,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,37347,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,40453,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,40064,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,40454,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,44983,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,37348,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,32801,Completed
Eden (ONA),39728,Plan to Watch
Edens Zero,42192,Completed
Egao no Daika,38544,Completed
Eiga Daisuki Pompo-san,41361,Completed
Eikoku Koi Monogatari Emma: Molders-hen,2035,Plan to Watch
Eizouken ni wa Te wo Dasu na!,39792,Completed
Elfen Lied,226,Completed
Endro~!,38062,Completed
Enen no Shouboutai,38671,Completed
Enen no Shouboutai: Ni no Shou,40956,Completed
Escha Chron,34208,Plan to Watch
Evangelion: 1.0 You Are (Not) Alone,2759,Completed
Evangelion: 2.0 You Can (Not) Advance,3784,Completed
Evangelion: 3.0 You Can (Not) Redo,3785,Completed
Ex-Arm,38853,Completed
Fairy Gone,39063,Completed
Fairy Gone Part 2,39811,Completed
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,45665,Completed
Fantastic Children,455,Plan to Watch
FLCL,227,Completed
FLCL Alternative,35842,Completed
FLCL Progressive,33010,Completed
Fractale,9314,Plan to Watch
Fragtime,39545,Completed
Free!,18507,Completed
Free! Eternal Summer,22265,Completed
Fruits Basket,120,Dropped
Fruits Basket 1st Season,38680,Completed
Fruits Basket 2nd Season,40417,Completed
Fruits Basket: The Final,42938,Completed
Fudanshi Koukou Seikatsu,33222,Completed
"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki",36629,Completed
Fugou Keiji: Balance:Unlimited,41120,Completed
Fukumenkei Noise,33203,Plan to Watch
Fumetsu no Anata e,41025,On-Hold
Fune wo Amu,32948,Plan to Watch
Futoku no Guild,51212,Watching
"Fuufu Ijou, Koibito Miman.",50425,Watching
Fuuka,33743,Plan to Watch
Gaikotsu Shotenin Honda-san,36317,Completed
Gaikotsu Shotenin Honda-san OVA,38527,Completed
Gakuen Basara,37657,Dropped
Gal to Kyouryuu,40358,Completed
Gamers!,34280,Completed
Gangsta.,25183,Plan to Watch
Gekidol: Actidol Project,32455,Completed
Gekkan Shoujo Nozaki-kun,23289,Completed
Gekkan Shoujo Nozaki-kun Specials,27633,Completed
Genjitsu Shugi Yuusha no Oukoku Saikenki,41710,Completed
Gibiate,40074,Completed
Girly Air Force,37998,Dropped
Given,39533,Completed
Given Movie,40421,Completed
Glass no Hana to Kowasu Sekai,25907,Plan to Watch
Glasslip,23079,Completed
Gleipnir,39463,Completed
Goblin Slayer,37349,Completed
