,Unnamed: 0,anime,season,year,category,songname,artist,link,extra,status
120,120,Chainsaw Man,Fall 2022,2022,Ending Theme,"7_ _Chu, Tayousei (ちゅ、多様性。)",ano (ep 7),https://www.youtube.com/watch?v=LBqVPG0xrvw,"ano – ちゅ、多様性。歌詞 (ano - Chu,Tayousei. Lyrics) ( Color Coded Lyrics ) |『Chainsaw Man』Ep 7 Ending",
121,121,Chainsaw Man,Fall 2022,2022,Ending Theme,8_ _first death,TK from Ling tosite sigure (ep 8),https://www.youtube.com/watch?v=lRZmrpvuea0,【MAD】Chainsaw Man Opening -「 am 3:45 - 凛として時雨 」[FANMADE],
122,122,Chainsaw Man,Fall 2022,2022,Ending Theme,9_ _Deep down,Aimer (ep 9),https://www.youtube.com/watch?v=giJKMtRnD20,『チェンソーマン』第９話ノンクレジットエンディング / CHAINSAW MAN #9 Ending│Aimer「Deep down」,
123,123,Charlotte,Summer 2015,2015,Opening Theme,Bravely You,Lia,https://www.youtube.com/watch?v=WhRsyIGN-cA,Charlotte Opening Full Version - Bravely You by Lia 【HD】,
124,124,Charlotte,Summer 2015,2015,Ending Theme,Yake Ochinai Tsubasa (灼け落ちない翼),Aoi Tada,https://www.youtube.com/watch?v=rXYEhXNxheo,"""Yake Ochinai Tsubasa"" [灼け落ちない翼] - Charlotte ED by Aoi Tada",
125,125,Charlotte,Summer 2015,2015,Ending Theme,Rakuen made (楽園まで),Yusa Nishimori (Maaya Uchida),https://www.youtube.com/watch?v=haezUgPnwPc,Charlotte シャーロット ED 2 FULL Rakuen Made (Maaya Uchida),
126,126,Charlotte,Summer 2015,2015,Ending Theme,Tasogare (黄昏),Anant-Garde Eyes,https://www.youtube.com/watch?v=fmM5l87IOUs,Anant-Garde Eyes - Tasogare [ Charlotte ],
127,127,Charlotte,Summer 2015,2015,Ending Theme,Kimi no Moji (君の文字),Anri Kumaki,https://www.youtube.com/watch?v=zzwizlfBXq0,Anri Kumaki - Kimi no Moji (English Japanese Lyrics),
128,128,Charlotte_ Tsuyoimono-tachi (Charlotte_ The Strong Ones),,1900,Opening Theme,Bravely You,Lia,https://www.youtube.com/watch?v=WhRsyIGN-cA,Charlotte Opening Full Version - Bravely You by Lia 【HD】,
129,129,Charlotte_ Tsuyoimono-tachi (Charlotte_ The Strong Ones),,1900,Ending Theme,Yake Ochinai Tsubasa (灼け落ちない翼),Aoi Tada,https://www.youtube.com/watch?v=rXYEhXNxheo,"""Yake Ochinai Tsubasa"" [灼け落ちない翼] - Charlotte ED by Aoi Tada",
130,130,Chio-chan no Tsuugakuro (Chio's School Road),Summer 2018,2018,Opening Theme,Danger in my Tsuugakuro (Danger in my 通学路),"Chio Miyamo (CV_ Naomi Oozora), Manana Nonomura (CV_ Chiaki Omigawa), and Yuki Hosokawa (CV_ Kaede Hondo)",https://www.youtube.com/watch?v=CoRlAN2FCm4,Chio-chan no Tsuugakuro OP - Danger in my Tsuugakuro (instrumental),sus
