,anime,season,year,category,songname,artist,link,extra
126,Arifureta Shokugyou de Sekai Saikyou,Summer 2019,2019,Ending Theme,Hajime no Uta (ハジメノウタ),DracoVirgo,https://open.spotify.com/track/2XPDRmjaXTvQ2KrZtLLwEU,
127,Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Opening Theme,"Boku no Kotoba de wa Nai, Kore wa Bokutachi no Kotoba_ (僕の言葉ではない これは僕達の言葉)",UVERworld,https://open.spotify.com/track/0StkLk0MA1i4kcUozLLxKl,
128,Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Opening Theme,Uzu to Uzu (渦と渦),NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
129,Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,Lapis Lazuli (ラピスラズリ),Eir Aoi,https://open.spotify.com/track/3hVrXI22rHjP3ppXBV5uFr,
130,Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
131,Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,Uzu to Uzu_ (渦と渦),NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
132,Arslan Senki (TV) Gaiden,,1900,Opening Theme,Uzu to Uzu (渦と渦),NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
133,Arslan Senki (TV) Gaiden,,1900,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
134,Arslan Senki (TV): Fuujin Ranbu,Summer 2016,2016,Opening Theme,Tsubasa (翼),Eir Aoi,https://open.spotify.com/track/6YOcFnrEyNPQKwivTsKlcW,
135,Arslan Senki (TV): Fuujin Ranbu,Summer 2016,2016,Ending Theme,blaze,Kalafina,https://open.spotify.com/track/3eAv0smsl7OIoXKcvKrksC,
136,Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,,1900,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
137,Arte,Spring 2020,2020,Opening Theme,Clover (クローバー),Maaya Sakamoto,https://open.spotify.com/track/2dgqUJjMWx0AVitOG3FJMd,
138,Arte,Spring 2020,2020,Ending Theme,Hare Moyou (晴れ模様),Kiyono Yasuno,https://open.spotify.com/track/4P1Cx40OQChjAPEai5Heht,
139,Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,Fall 2022,2022,Ending Theme,Katachi ni Dekinai Monologue (形にできないモノローグ),KOTOKO, ,
140,Asagao to Kase-san. (Kase-san and Morning Glories),,1900,Ending Theme,Asu e no Tobira (明日への扉),Yui Yamada (Minami Takahashi) & Tomoka Kase (Ayane Sakura),https://open.spotify.com/track/6LdJF87gNAlqp3n51ns9mQ,
141,Asatir: Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Opening Theme,Mirai no Mukashibanashi (未来の昔ばなし),Sachiko Watabe (渡部沙智子), ,
142,Asatir: Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Ending Theme,Kioku no Mukou (記憶の向こう),Sachiko Watabe (渡部沙智子), ,
143,Asobi Asobase (Asobi Asobase - workshop of fun -),Summer 2018,2018,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)", ,
144,Asobi Asobase (Asobi Asobase - workshop of fun -),Summer 2018,2018,Ending Theme,Inkya Impulse (インキャインパルス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara) feat_ Ikepy & KSKN", ,
