,anime,season,year,category,songname,artist,link,extra
1243,Nakanohito Genome [Jikkyouchuu] (The Ones Within),Summer 2019,2019,Ending Theme,Boku wo Mitsukete (僕を見つけて),fhána,https://open.spotify.com/track/0PXeQyNzKmM4IG0DLQvDxv,
1244,Nakanohito Genome [Jikkyouchuu]: Knots of Memories,,1900,Ending Theme,Boku wo Mitsukete (僕を見つけて),fhána, ,
1245,"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Opening Theme,aranami,tacica,https://open.spotify.com/track/1N23CBPVb0ms0lf3acpfBv,
1246,"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Ending Theme,Pride,Harumi (遥海),https://open.spotify.com/track/5bE1OtImM4YVO4xhAGy0og,
1247,"Nami yo Kiitekure (Wave, Listen to Me!)",Spring 2020,2020,Ending Theme,Believe In Myself,Harumi (遥海),https://open.spotify.com/track/0nolpr6YURejDkUCmJtea8,
1248,"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Opening Theme,Bon♡Kyu♡Bon wa Kare no Mono♡ (ボン♡キュッ♡ボンは彼のモノ♡),Sumire Uesaka,https://open.spotify.com/track/5yBJ3b6E3S3zLV0LxN8ZDX,
1249,"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Kana Kojima (Sumire Uesaka), ,
1250,"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Mayu Matsukaze (Yuuko Gotou), ,
1251,"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Chizuru Tachibana (Nozomi Yamamoto), ,
1252,"Nande Koko ni Sensei ga!? (Why the Hell are You Here, Teacher!?)",Spring 2019,2019,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Hikari Hazakura (Shizuka Ishigami), ,
1253,Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,,1900,Opening Theme,Bon♡Kyu♡Bon wa Kare no Mono♡ (ボン♡キュッ♡ボンは彼のモノ♡),Sumire Uesaka, ,
1254,Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,,1900,Ending Theme,Ringo-iro Memories (りんご色メモリーズ),Kana Kojima (Sumire Uesaka), ,
1255,Natsunagu!,Winter 2020,2020,Ending Theme,Camellia,Rio, ,
1256,Nazo no Kanojo X (Mysterious Girlfriend X),Spring 2012,2012,Opening Theme,Koi no Orchestra (恋のオーケストラ),Ayako Yoshitani, ,
1257,Nazo no Kanojo X (Mysterious Girlfriend X),Spring 2012,2012,Ending Theme,Houkago no Yakusoku (放課後の約束),Ayako Yoshitani, ,
1258,Nazo no Kanojo X: Nazo no Natsu Matsuri,,1900,Opening Theme,Koi no Orchestra (恋のオーケストラ),Ayako Yoshitani, ,
1259,Nazo no Kanojo X: Nazo no Natsu Matsuri,,1900,Ending Theme,Houkago no Yakusoku (放課後の約束),Ayako Yoshitani, ,
1260,Nekopara,Winter 2020,2020,Opening Theme,Shiny Happy Days,"Chocola (Yuki Yagi), Vanilla (Iori Saeki), Azuki (Shiori Izawa), Maple (Miku Itou), Cinnamon (Yuri Noguchi), Coconut (Marin Mizutani)",https://open.spotify.com/track/5EwXiLazd1wAR5AAgc9Vla,
1261,Nekopara,Winter 2020,2020,Ending Theme,Hidamari no Kaori (陽だまりの香り),"Chocola (Yuki Yagi), Vanilla (Iori Saeki)",https://open.spotify.com/track/14NSDE62o0Jh3OOEoy7QDG,
1262,Nekopara,Winter 2020,2020,Ending Theme,Honto no Kokoro (ホントノココロ),Maple (Miku Itou),https://open.spotify.com/track/0zP5N2tVor5CzgqQusKXSo,
1263,Nekopara,Winter 2020,2020,Ending Theme,Hidamari no Kaori ~Cacao mo Issho ver~ (陽だまりの香り~カカオもいっしょver~),"Chocola (Yuki Yagi), Vanilla (Iori Saeki), Cacao (Yuuka Morishima)",https://open.spotify.com/track/00xxi3SdDhWq58AoIOBhzL,
1264,Nekopara: Koneko no Hi no Yakusoku,,1900,Ending Theme,Symphony,Luce Twinkle Wink,https://open.spotify.com/track/0IsG0E5frih5IUXcDgC9Yo,
1265,Neon Genesis Evangelion,Fall 1995,1995,Opening Theme,"Zankoku na Tenshi no Thesis (残酷な天使のテーゼ, A Cruel Angel's Thesis)",Yoko Takahashi, ,
1266,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon,Claire, ,
1267,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #5 Version),Megumi Hayashibara, ,
1268,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #6 Version),Megumi Hayashibara, ,
1269,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -4 Beat Version-,Yoko Takahashi, ,
1270,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Aya Bossa Techno Version),Aya, ,
1271,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Yoko Takahashi Acid Bossa Version),Yoko Takahashi, ,
1272,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Yoko Takahashi Version),Yoko Takahashi, ,
1273,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -4 Beat Version (Off-Vocal)-,[Instrumental], ,
1274,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Off-Vocal Version),[Instrumental], ,
1275,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Aki Jungle Version),Aki, ,
1276,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon -B22 (A-Type)-,[Instrumental], ,
1277,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #23 Version),Megumi Hayashibara, ,
1278,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #25 Version),Megumi Hayashibara, ,
1279,Neon Genesis Evangelion,Fall 1995,1995,Ending Theme,Fly Me to the Moon (Rei #26 Version),Megumi Hayashibara, ,
1280,Neon Genesis Evangelion: The End of Evangelion,,1900,Ending Theme,Thanatos -If I Can't Be Yours-,Loren & Mash, ,
1281,Net-juu no Susume (Recovery of an MMO Junkie),Fall 2017,2017,Opening Theme,Saturday Night Question (サタデー・ナイト・クエスチョン),Megumi Nakajima,https://open.spotify.com/track/3m8afiRxyS8YzLuq9LfFdU,
1282,Net-juu no Susume (Recovery of an MMO Junkie),Fall 2017,2017,Ending Theme,"Hikari, Hikari (ひかり、ひかり)",Yuuka Aisaka,https://open.spotify.com/track/3425sFJgHKb0oaSuju0peq,
1283,Net-juu no Susume Special (Recovery of an MMO Junkie Special),,1900,Opening Theme,Saturday Night Question (サタデー・ナイト・クエスチョン),Megumi Nakajima,https://open.spotify.com/track/3m8afiRxyS8YzLuq9LfFdU,
1284,Net-juu no Susume Special (Recovery of an MMO Junkie Special),,1900,Ending Theme,"Hikari, Hikari (ひかり、ひかり)",Yuuka Aisaka,https://open.spotify.com/track/3425sFJgHKb0oaSuju0peq,
1285,New Game!,Summer 2016,2016,Opening Theme,SAKURA Skip (SAKURAスキップ),"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1286,New Game!,Summer 2016,2016,Ending Theme,Now Loading!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1287,"New Game! Watashi, Shain Ryokou tte Hajimete nano de...",,1900,Opening Theme,SAKURA Skip (SAKURAスキップ),"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1288,"New Game! Watashi, Shain Ryokou tte Hajimete nano de...",,1900,Ending Theme,Now Loading!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1289,New Game!!,Summer 2017,2017,Opening Theme,STEP,STEP UP↑↑↑↑_,https://open.spotify.com/track/7zuR4IKOOpdshNwmJyEc1u,
1290,New Game!!,Summer 2017,2017,Ending Theme,JUMPin' JUMP UP!!!!,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1291,New Game!!,Summer 2017,2017,Ending Theme,Yumeiro Compass,"fourfolium [Aoba Suzukaze (Yuuki Takada), Hifumi Takimoto (Megumi Yamaguchi), Hajime Shinoda (Megumi Toda), Yun Iijima (Ayumi Takeo)]", ,
1292,Ni no Kuni,,1900,Ending Theme,MOIL,Keina Suda,https://open.spotify.com/track/6vRAF32WCBP15cMXGsfStt,
1293,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Opening Theme,Hyadain no Kakakata☆Kataomoi - C,Hyadain (Kenichi Maeyamada),https://open.spotify.com/track/3MpAKiHm0dzxRBSBwJ3PBC,
1294,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Opening Theme,Hyadain no Joujou Yuujou (ヒャダインのじょーじょーゆーじょー),Hyadain,https://open.spotify.com/track/4o6lx73KC3AmKI73fDV6ZU,
1295,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Zzz,Sayaka Sasaki,https://open.spotify.com/track/5pDmTYazss1gsjdB0PNbDG,
1296,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Zzz (Bossa Nova version),Sayaka Sasaki,https://open.spotify.com/track/3ntZ3BcNvEwMAyJPcbBjPf,
1297,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Zzz (Acapella version),Sayaka Sasaki,https://open.spotify.com/track/3nnoOmCi4pmepk4paaEIo4,
1298,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Tsubasa wo Kudasai (翼をください),Sayaka Sasaki, ,
1299,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Kikyuu ni Notte Dokomademo (気球にのってどこまでも),"Nano Shinonome, Hakase & Sakamoto-san (Shizuka Furuya, Hiromi Konno & Minoru Shiraishi)", ,
1300,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,My Ballad (マイバラード),Sayaka Sasaki, ,
1301,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Kaijuu no Ballad (怪獣のバラード),"Yuuko, Mio & Mai (Mariko Honda, Mai Aizawa & Misuzu Togashi)", ,
1302,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Green Green (グリーングリーン),Sayaka Sasaki, ,
1303,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Yasei no Uma (野生の馬),"Takasaki-sensei, Sakurai-sensei, Nakamura-sensei, Makoto Sakurai, Yuria Sekiguchi, Haruna Annaka & Ogi (Tetsu Inada, Mami Kosuge, Kaoru Mizuhara, Takahiro Hikami, Ai Hirosaka, Kaori Sadohara, Ryouta Takeuchi)", ,
1304,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Ano Subarashii Ai o Mou Ichido (あの素晴らしい愛をもう一度),Sayaka Sasaki, ,
1305,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Sudachi no Uta (巣立ちの歌),"Sasahara, Misato, Nakanojou, Weboshi & Fecchan (Yoshihisa Kawahara, Chika Horikawa, Kazutomi Yamamoto, Youko Tamaoki & Yumi Higuchi)", ,
1306,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Aogeba Toutoshi (仰げば尊し),Sayaka Sasaki, ,
1307,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Sora ga Konna ni Aoi to wa (空がこんなに青いとは),Hakase & Mai (Hiromi Konno & Misuzu Togashi), ,
1308,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Yuuki Hitotsu wo Tomo ni Shite (勇気一つを友にして),Sayaka Sasaki, ,
1309,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Let's search for Tomorrow,"Yuuko, Mio & Mai (Mariko Honda, Mai Aizawa & Misuzu Togashi)", ,
1310,Nichijou (Nichijou - My Ordinary Life),Spring 2011,2011,Ending Theme,Tabidachi no hi ni (旅立ちの日に),"Yuuko, Mio, Mai, Nano, Hakase & Sakamoto-san (Mariko Honda, Mai Aizawa, Misuzu Togashi, Shizuka Furuya, Hiromi Konno & Minoru Shiraishi)", ,
1311,Nichijou: Nichijou no 0-wa (My Ordinary Life Episode 0),,1900,Ending Theme,Nichijou no 0-wa (日常の0話),Sayaka Sasaki, ,
1312,Nihon Chinbotsu 2020 (Japan Sinks: 2020),,1900,Opening Theme,a life,Taeko Oonuki & Ryuichi Sakamoto,https://open.spotify.com/track/0XvsCnRSfsmsQBUb5O88ux,
1313,Nihon Chinbotsu 2020 (Japan Sinks: 2020),,1900,Ending Theme,Keshiki (景色),KAF (花譜),https://open.spotify.com/track/6W7fK6ZDqocWUqdtaNw1p7,
1314,Ninja Collection,Summer 2020,2020,Ending Theme,Shinobi Ashi de Unzaunza wo Odoru (忍び足でウンザウンザを踊る),Backdrop Cinderella, ,
1315,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Opening Theme,CLICK,ClariS,https://open.spotify.com/track/3lVjrhRTt8nQ99kan7pOmj,
1316,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Opening Theme,STEP,ClariS,https://open.spotify.com/track/5DvdcadbAkXdpITIKLycqx,
1317,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,CLICK,ClariS,https://open.spotify.com/track/3lVjrhRTt8nQ99kan7pOmj,
1318,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Heart Pattern,Chitoge Kirisaki (Nao Touyama), ,
1319,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Recover Decoration (リカバーデコレーション),Kosaki Onodera (Kana Hanazawa), ,
1320,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,STEP,ClariS,https://open.spotify.com/track/5DvdcadbAkXdpITIKLycqx,
1321,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,TRICK BOX,Seishirou Tsugumi (Mikako Komatsu), ,
1322,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Order × Order (オーダー×オーダー),Ruri Miyamoto (Yumi Uchiyama), ,
1323,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Hanagonomi (はなごのみ),Marika Tachibana (Kana Asumi), ,
1324,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Souzou Diary (想像ダイアリー),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa), Seishirou Tsugumi (Mikako Komatsu), Marika Tachibana (Kana Asumi)", ,
1325,Nisekoi (Nisekoi: False Love),Winter 2014,2014,Ending Theme,Taisetsu no Tsukurikata (大切の作り方),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa)", ,
1326,Nisekoi OVA,,1900,Opening Theme,CLICK,ClariS,https://open.spotify.com/track/3lVjrhRTt8nQ99kan7pOmj,
1327,Nisekoi OVA,,1900,Opening Theme,STEP,ClariS,https://open.spotify.com/track/5DvdcadbAkXdpITIKLycqx,
1328,Nisekoi OVA,,1900,Ending Theme,Souzou Diary (想像ダイアリー),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa), Seishirou Tsugumi (Mikako Komatsu), Marika Tachibana (Kana Asumi)", ,
1329,Nisekoi OVA,,1900,Ending Theme,Taisetsu no Tsukurikata (大切の作り方),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa)", ,
1330,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Opening Theme,Rally Go Round,LiSA,https://open.spotify.com/track/4tiiXvf3G6ujvyt8IdNHvR,
1331,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Opening Theme,Magical☆Styling (マジカル☆スタイリング),Magical Pâtissière Kosaki-chan (Kana Hanazawa), ,
1332,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,Aimai Hertz (曖昧ヘルツ),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa), Seishirou Tsugumi (Mikako Komatsu), Marika Tachibana (Kana Asumi)", ,
1333,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,TrIGgER,Seishirou Tsugumi (Mikako Komatsu), ,
1334,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,Sleep zzz,Chitoge Kirisaki (Nao Touyama), ,
1335,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,Matado-rabu (またど～らぶ),Marika Tachibana (Kana Asumi), ,
1336,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,marchen ticktack,Haru Onodera (Ayane Sakura), ,
1337,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,Tooriame drop (通り雨drop),Ruri Miyamoto (Yumi Uchiyama), ,
1338,Nisekoi: (Nisekoi: False Love),Spring 2015,2015,Ending Theme,Crayon Cover (クレヨンカバー),Kosaki Onodera (Kana Hanazawa), ,
1339,Nisekoi: OVA,,1900,Opening Theme,Rally Go Round,LiSA,https://open.spotify.com/track/4tiiXvf3G6ujvyt8IdNHvR,
1340,Nisekoi: OVA,,1900,Opening Theme,Magical☆Styling (マジカル☆スタイリング),Magical Pâtissière Kosaki-chan (Kana Hanazawa), ,
1341,Nisekoi: OVA,,1900,Ending Theme,Aimai Hertz (曖昧ヘルツ),"Chitoge Kirisaki (Nao Touyama), Kosaki Onodera (Kana Hanazawa), Seishirou Tsugumi (Mikako Komatsu), Marika Tachibana (Kana Asumi)", ,
1342,Nisekoi: OVA,,1900,Ending Theme,Crayon Cover (クレヨンカバー),Kosaki Onodera (Kana Hanazawa), ,
1343,"No Game No Life (No Game, No Life)",Spring 2014,2014,Opening Theme,This game,Konomi Suzuki, ,
1344,"No Game No Life (No Game, No Life)",Spring 2014,2014,Opening Theme,Onegai☆Snyaiper (おねがい☆すにゃいばー),Izuna Hatsuse (Miyuki Sawashiro), ,
1345,"No Game No Life (No Game, No Life)",Spring 2014,2014,Ending Theme,This game,Konomi Suzuki, ,
1346,"No Game No Life (No Game, No Life)",Spring 2014,2014,Ending Theme,Oracion (オラシオン),Shiro (Ai Kayano), ,
1347,No Game No Life: Zero,,1900,Ending Theme,THERE IS A REASON,Konomi Suzuki,https://open.spotify.com/track/3yvLzfvMAPEjcv5G8NLim2,
1348,No Guns Life,Fall 2019,2019,Opening Theme,MOTOR CITY,Kenichi Asai (浅井健一),https://open.spotify.com/track/7jd9ghXWTcn0hVD6FSQrUb,
1349,No Guns Life,Fall 2019,2019,Ending Theme,Game Over,DATS,https://open.spotify.com/track/7EHrkgu52oe58ytneVPNVI,
1350,No Guns Life 2nd Season (No Guns Life Season 2),Summer 2020,2020,Opening Theme,Chaos Drifters,SawanoHiroyuki[nZk]_Jean-Ken Johnny,https://open.spotify.com/track/1fMNl2mdBRthYDfXbWgfax,
1351,No Guns Life 2nd Season (No Guns Life Season 2),Summer 2020,2020,Ending Theme,new world,THIS IS JAPAN,https://open.spotify.com/track/6JP47pu54ufDK2epBJrmhd,
1352,No.6 (No. 6),Summer 2011,2011,Opening Theme,Spell,LAMA,https://open.spotify.com/track/3AoRM0u5OKKb7mDimMhQER,
1353,No.6 (No. 6),Summer 2011,2011,Ending Theme,Rokutousei no Yoru (六等星の夜),Aimer,https://open.spotify.com/track/4uIOdt6VTKHLrlInxAc7Lw,
1354,Noblesse,Fall 2020,2020,Opening Theme,BREAKING DAWN,Jae Joong,https://open.spotify.com/track/5DuZeF0DJcMn5TBXLK2FhI,
1355,Noblesse,Fall 2020,2020,Ending Theme,Etoile,OH MY GIRL,https://open.spotify.com/track/6LgX94vnLQ4JZTMojQ3D30,
1356,Nobunaga-sensei no Osanazuma (Nobunaga Teacher's Young Bride),Spring 2019,2019,Opening Theme,"Koise yo Minna, Hai! (恋せよみんな、ハイ！)",Pyxis,https://open.spotify.com/track/3EPX9BeH1fWRoO1Zn2nbWo,
1357,Nobunaga-sensei no Osanazuma (Nobunaga Teacher's Young Bride),Spring 2019,2019,Ending Theme,Returner Butterfly,Rika Tachibana,https://open.spotify.com/track/58tSWiB1U5QEk6MUjz2pv4,
1358,Noragami,Winter 2014,2014,Opening Theme,Goya no Machiawase (午夜の待ち合わせ),Hello Sleepwalkers,https://open.spotify.com/track/0MGQHJPSWR2e2fj8VTNLYF,
1359,Noragami,Winter 2014,2014,Ending Theme,Heart Realize (ハートリアライズ),Tia,https://open.spotify.com/track/683BwxNnoUdR610Rqlq1NJ,
1360,Noragami Aragoto,Fall 2015,2015,Opening Theme,Kyouran Hey Kids!! (狂乱Hey Kids!!),THE ORAL CIGARETTES,https://open.spotify.com/track/0ax0UBVE6S1Qh6ReyJbyXk,
1361,Noragami Aragoto,Fall 2015,2015,Ending Theme,Nirvana (ニルバナ),Tia,https://open.spotify.com/track/034c3CHMQ2STRC6GPXXhl6,
1362,Noragami Aragoto OVA,,1900,Opening Theme,Kyouran Hey Kids!! (狂乱Hey Kids!!),THE ORAL CIGARETTES,https://open.spotify.com/track/0ax0UBVE6S1Qh6ReyJbyXk,
1363,Noragami Aragoto OVA,,1900,Ending Theme,Nirvana (ニルバナ),Tia,https://open.spotify.com/track/034c3CHMQ2STRC6GPXXhl6,
1364,Noragami OVA,,1900,Opening Theme,Goya no Machiawase (午夜の待ち合わせ),Hello Sleepwalkers,https://open.spotify.com/track/0MGQHJPSWR2e2fj8VTNLYF,
1365,Noragami OVA,,1900,Ending Theme,Heart Realize (ハートリアライズ),Tia,https://open.spotify.com/track/683BwxNnoUdR610Rqlq1NJ,
1366,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,Fall 2022,2022,Opening Theme,Growing up,7ORDER, ,
1367,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,Fall 2022,2022,Ending Theme,Rolling Soul Happy Days (ローリンソウル・ハッピーデイズ),Pop Shinanaide (ポップしなないで), ,
1368,Null Peta (Null & Peta),,1900,Opening Theme,#NULL!_Peta,"Null (Azuki Waki), Peta (Reina Ueda)",https://open.spotify.com/track/0UJ4wQxkt0rGdXdYSCwBOx,
1369,umber24,Winter 2020,2020,Opening Theme,SET!,Masanori Kobayashi (小林正典), ,
1370,umber24,Winter 2020,2020,Ending Theme,Kimi to Iru nara (君といるなら),Natsusa Yuzuki (Kengo Kawanishi) & Seiichirou Jingyouji (Ryouta Suzuki), ,
1371,umber24,Winter 2020,2020,Ending Theme,COMICAL TRY!!,Natsusa Yuzuki (Kengo Kawanishi) & Ibuki Ueoka (Junichi Yanagita), ,
1372,umber24,Winter 2020,2020,Ending Theme,Every Fight,Natsusa Yuzuki (Kengo Kawanishi) & Yasunari Tsuru (Shouhei Komatsu), ,
1373,Ochikobore Fruit Tart (Dropout Idol Fruit Tart),Fall 2020,2020,Opening Theme,Kibou Darake no Everyday (キボウだらけのEVERYDAY),Fruit Tart (フルーツタルト),https://open.spotify.com/track/0CPzk2H8xZa4l8zR7BBThf,
1374,Ochikobore Fruit Tart (Dropout Idol Fruit Tart),Fall 2020,2020,Ending Theme,Wonder! (ワンダー！),Fruit Tart (フルーツタルト),https://open.spotify.com/track/2pQGIK9ljLZN1W2xs9BKwi,
1375,Oda Cinnamon Nobunaga,Winter 2020,2020,Opening Theme,Sunny Sunny Girl◎,Akane Kumada,https://open.spotify.com/track/5ilNkGeVY3Vot1dFgMMA9U,
1376,Oda Cinnamon Nobunaga,Winter 2020,2020,Ending Theme,Inusei wa Ichidokiri (犬生は一度きり),"Cinnamon_ Boo, Lucky (シナモン・ブー・ラッキー) (Kenyuu Horiuchi, Toshio Furukawa, Tessyo Genda)",https://open.spotify.com/track/0g2BT7GnEiJs5VOZ4m2gRm,
1377,Odd Taxi,Spring 2021,2021,Opening Theme,ODDTAXI,Skirt and PUNPEE,https://open.spotify.com/track/2V6096t85P3oWokkXqmANp,
1378,Odd Taxi,Spring 2021,2021,Ending Theme,Sugarless Kiss (シュガーレス・キッス),Suzuko Mimori (三森すずこ),https://open.spotify.com/track/4W3otQbSjWgMyuiSuYyp32,
1379,Odd Taxi,Spring 2021,2021,Ending Theme,Kabe no Mukou ni Waraigoe wo Kikimashita ka (壁の向こうに笑い声を聞きましたか),Tony Frank (トニーフランク),https://open.spotify.com/track/5e8r1dLxRyk7bWOSJo5ikL,
1380,"Omoi, Omoware, Furi, Furare (Love Me, Love Me Not)",,1900,Ending Theme,Gravity,BUMP OF CHICKEN,https://open.spotify.com/track/15WLZS3pvNj1grj8FsI1tv,
1381,One Piece Film: Red,,1900,Ending Theme,Shinjidai (新時代),Ado,https://open.spotify.com/track/28MATCYDctW5EiBa2repxb,
1382,One Punch Man,Fall 2015,2015,Opening Theme,THE HERO !! ~Okoreru Kobushi ni Hi wo Tsukero~ (THE HERO !! ～怒れる拳に火をつけろ～),JAM Project,https://open.spotify.com/track/4YycgLIc3P6oQRY5NiOybl,
1383,One Punch Man,Fall 2015,2015,Ending Theme,Hoshi yori Saki ni Mitsukete Ageru (星より先に見つけてあげる),Hiroko Moriguchi, ,
1384,One Punch Man,Fall 2015,2015,Ending Theme,Kanashimitachi wo Dakishimete (悲しみたちを抱きしめて),Hiroko Moriguchi, ,
1385,One Punch Man 2nd Season (One Punch Man Season 2),Spring 2019,2019,Opening Theme,Seijaku no Apostle (静寂のアポストル),JAM Project,https://open.spotify.com/track/1YlmNQyqgqmih1o96NGCZZ,
1386,One Punch Man 2nd Season (One Punch Man Season 2),Spring 2019,2019,Ending Theme,Seijaku no Apostle (静寂のアポストル),JAM Project,https://open.spotify.com/track/1YlmNQyqgqmih1o96NGCZZ,
1387,One Punch Man 2nd Season (One Punch Man Season 2),Spring 2019,2019,Ending Theme,Chizu ga Nakutemo Modoru kara (地図が無くても戻るから),Makoto Furukawa,https://open.spotify.com/track/0YbL6UQ5UmpTYp5tkUYV1N,
1388,One Punch Man 2nd Season Specials (One Punch Man Season 2 Specials),,1900,Ending Theme,Chizu ga Nakutemo Modoru kara (地図が無くても戻るから),Makoto Furukawa,https://open.spotify.com/track/68ywGAs951Fe4rrmqfMdH7,
1389,One Punch Man Specials,,1900,Ending Theme,Saitama no One Punch Ondo (サイタマのワンパン音頭),Saitama (Makoto Furukawa), ,
1390,One Punch Man Specials,,1900,Ending Theme,Genos no One Punch Ondo (ジェノスのワンパン音頭),Genos (Kaito Ishikawa), ,
1391,One Punch Man Specials,,1900,Ending Theme,Sonic no One Punch Ondo (ソニックのワンパン音頭),Sonic (Yuki Kaji), ,
1392,One Punch Man Specials,,1900,Ending Theme,Tatsumaki to Fubuki no One Punch Ondo (タツマキとフブキのワンパン音頭),Tatsumaki (Aoi Yuuki) and Fubuki (Saori Hayami), ,
