,anime,season,year,category,songname,artist,link,extra,status
83,Akudama Drive,Fall 2020,2020,Ending Theme,Ready,Urashimasakatasen,https://open.spotify.com/track/25vR99CV55S13PmgHXzUOh,,Downloaded
84,Akuyaku Reijou nano de Last Boss wo Kattemimashita,Fall 2022,2022,Opening Theme,Kyoukan Sarenakutemo Iijanai (共感されなくてもいいじゃない),Rie Takahashi,https://www.youtube.com/watch?v=oXlEEXws3gc,高橋李依「共感されなくてもいいじゃない」Music Video,
85,Akuyaku Reijou nano de Last Boss wo Kattemimashita,Fall 2022,2022,Ending Theme,Nomic (ノミック),ACCAMER,https://www.youtube.com/watch?v=MSNNBHugtag,ACCAMER「ノミック」Music Video,
86,Aldnoah.Zero,Summer 2014,2014,Opening Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,,Downloaded
87,Aldnoah.Zero,Summer 2014,2014,Ending Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,,Downloaded
88,Aldnoah.Zero,Summer 2014,2014,Ending Theme,A_Z,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/0yUWN4UjHYZ2L7121a2C5M,,Downloaded
89,Aldnoah.Zero,Summer 2014,2014,Ending Theme,aLIEz,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/1I6uKSVVYyFq5qaSa6W7Pp,,Downloaded
90,Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Opening Theme,&Z,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/6X2jYZpOrXiDXpOvQGcvsU,,Downloaded
91,Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,&Z,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/6X2jYZpOrXiDXpOvQGcvsU,,Downloaded
92,Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,GENESIS,Eir Aoi,https://open.spotify.com/track/5qXYkYpk5e5rS07lU3USCC,,Downloaded
93,Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,Harmonious,Asseylum Vers Allusia starring Sora Amamiya,https://www.youtube.com/watch?v=kK9KxUgjFLc,Harmonious (feat. Sora Amamiya) - ALDNOAH.ZERO OST 2 - Hiroyuki Sawano,
94,ldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,,Downloaded
95,Ame wo Tsugeru Hyouryuu Danchi (Drifting Home),,1900,Ending Theme,Kiete Shimai Sou Desu (消えてしまいそうです),ZUTOMAYO,https://open.spotify.com/track/4wYCZ6QS5EClBXqjakTieR,,Downloaded
96,Ange Vierge,Summer 2016,2016,Opening Theme,Love is MY RAIL,Konomi Suzuki,https://www.youtube.com/watch?v=ciQWFHhObVk,Love is MY RAIL - Konomi Suzuki,
97,Ange Vierge,Summer 2016,2016,Ending Theme,Link with U,"L_I_N_K_s (Yuuka Aisaka, Mai Ishihara, Yoshiko Ikuta, Rie Takahashi, Nozomi Yamamoto)",https://www.youtube.com/watch?v=X5EExUUZSyA,Ange Vierge | Link with U | Ending Theme,
98,Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",Lia,https://www.youtube.com/watch?v=zIFV8UUs1-c,"Angel Beats Op Full HD w/lyrics My Soul, Your Beats!",
99,Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",LiSA,https://www.youtube.com/watch?v=KXvHv7BxUNs,"LiSA - My Soul, Your Beats! - Keep the Angel Beats Live Concert",
100,Angel Beats!,Spring 2010,2010,Ending Theme,Brave Song,Aoi Tada,https://www.youtube.com/watch?v=xtcvM3s1I1s,Brave Song by Aoi Tada FULL (angel beats ending),
101,Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono ~Yui final ver_~ (一番の宝物 ~Yui final ver_~),Girls Dead Monster feat_ LiSA,https://www.youtube.com/watch?v=tm7Xf9818FM,Angel Beats! - Ichiban no Takaramono (Yui final ver.),
102,Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono (一番の宝物),karuta,https://www.youtube.com/watch?v=o5SSGhmTvr0,Karuta - Ichiban no Takaramono [English Sub] 一番の宝物 Angel Beats!,
103,Angel Beats! Specials,,1900,Opening Theme,"My Soul, Your Beats!",Lia,https://www.youtube.com/watch?v=zIFV8UUs1-c,"Angel Beats Op Full HD w/lyrics My Soul, Your Beats!",
104,Angel Beats! Specials,,1900,Ending Theme,Brave Song,Aoi Tada,https://www.youtube.com/watch?v=xtcvM3s1I1s,Brave Song by Aoi Tada FULL (angel beats ending),
105,Anima Yell!,Fall 2018,2018,Opening Theme,Jump Up↑ Yell!! (ジャンプアップ↑エール!!),"Kaminoki Koukou Cheering-bu [Kohane Hatoya (Yuka Ozaki), Hizume Arima (Yuina Yamada), Uki Sawatari (Mikako Izawa), Kotetsu Tatejima (Tomori Kusunoki), Kana Ushiku (Haruka Shiraishi)]",https://open.spotify.com/track/0UuSK5e4JFW2xqYm9HYJ8f,,Downloaded
106,Anima Yell!,Fall 2018,2018,Ending Theme,One for All,"Kaminoki Koukou Cheering-bu [Kohane Hatoya (Yuka Ozaki), Hizume Arima (Yuina Yamada), Uki Sawatari (Mikako Izawa), Kotetsu Tatejima (Tomori Kusunoki), Kana Ushiku (Haruka Shiraishi)]",https://open.spotify.com/track/1Gq2azq6OIw3v8wKeXTddX,,Downloaded
107,Another,Winter 2012,2012,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT,https://www.youtube.com/watch?v=We_uZ7-_HmM,[Official Video] ALI PROJECT - Kyomu Densen - 凶夢伝染,
108,Another,Winter 2012,2012,Ending Theme,anamnesis,Annabel,https://www.youtube.com/watch?v=7e0Tgyw_A9I,Another ED Full「anamnesis by Annabel」アナザー,
109,Another_ The Other - Inga (Another_ The Other),,1900,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT,https://www.youtube.com/watch?v=We_uZ7-_HmM,[Official Video] ALI PROJECT - Kyomu Densen - 凶夢伝染,
110,Another_ The Other - Inga (Another_ The Other),,1900,Ending Theme,anamnesis,Annabel,https://www.youtube.com/watch?v=7e0Tgyw_A9I,Another ED Full「anamnesis by Annabel」アナザー,
111,Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Seishun Satsubatsu-ron (青春サツバツ論),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/0PY7EFmEa52bsJ12xSq4B5,,Downloaded
112,Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Seishun Satsubatsu-ron (青春サツバツ論),"3-nen E-gumi Shuugakuryokou 4-han (3年E組 修学旅行4班) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Yoshitaka Yamaya, Satomi Sato, Sayuri Yahagi]",https://www.youtube.com/watch?v=QkmYpUvwjFU,Seishun Satsubatsuron (青春...サツバツ論!): Assassination Classroom (暗殺教室) Opening Lyrics,
113,Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Jiriki Hongan Revolution (自力本願レボリューション),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/2jgVyvvBfdf6LC1EUSYDDM,,Downloaded
114,Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Ending Theme,"Hello, shooting-star",moumoon,https://open.spotify.com/track/2Vv7OUb0VgufsPc53l8xZs,,Downloaded
115,Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Opening Theme,QUESTION,"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/4MorYttxU39XKVoRlCopyz,,Downloaded
116,Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Opening Theme,Bye Bye Yesterday (バイバイ YESTERDAY),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/66lF1QWtLZXJofJ3x388RV,,Downloaded
